Rank,Release,Gross,Max Th,Opening,% of Total,Open Th,Open,Close,Distributor
1,Black Panther,"$700,059,566 ","4,084","$202,003,951 ",28.90%,"4,020",16-Feb,9-Aug,Walt Disney Studios Motion Pictures
2,Avengers: Infinity War,"$678,815,482 ","4,474","$257,698,183 ",38%,"4,474",27-Apr,13-Sep,Walt Disney Studios Motion Pictures
3,Incredibles 2,"$608,581,744 ","4,410","$182,687,905 ",30%,"4,410",15-Jun,13-Dec,Walt Disney Studios Motion Pictures
4,Jurassic World: Fallen Kingdom,"$417,719,760 ","4,485","$148,024,610 ",35.40%,"4,475",22-Jun,4-Oct,Universal Pictures
5,Aquaman,"$335,061,807 ","4,184","$67,873,522 ",20.30%,"4,125",21-Dec,4-Apr,Warner Bros.
6,Deadpool 2,"$318,491,426 ","4,349","$125,507,153 ",39.40%,"4,349",18-May,18-Oct,Twentieth Century Fox
7,The Grinch,"$271,478,510 ","4,141","$67,572,855 ",24.90%,"4,141",9-Nov,14-Feb,Universal Pictures
8,Mission: Impossible - Fallout,"$220,159,104 ","4,395","$61,236,534 ",27.80%,"4,386",27-Jul,18-Oct,Paramount Pictures
9,Ant-Man and the Wasp,"$216,648,740 ","4,206","$75,812,205 ",35%,"4,206",6-Jul,1-Nov,Walt Disney Studios Motion Pictures
10,Bohemian Rhapsody,"$216,428,042 ","4,000","$51,061,119 ",23.60%,"4,000",2-Nov,25-Apr,Twentieth Century Fox
11,A Star Is Born,"$215,288,866 ","3,904","$42,908,051 ",19.90%,"3,686",5-Oct,4-Apr,Warner Bros.
12,Solo: A Star Wars Story,"$213,767,512 ","4,381","$84,420,489 ",39.50%,"4,381",25-May,20-Sep,Walt Disney Studios Motion Pictures
13,Venom,"$213,515,506 ","4,250","$80,255,756 ",37.60%,"4,250",5-Oct,24-Jan,Sony Pictures Releasing
14,Ralph Breaks the Internet,"$201,091,711 ","4,017","$56,237,634 ",28%,"4,017",21-Nov,11-Apr,Walt Disney Studios Motion Pictures
15,Spider-Man: Into the Spider-Verse,"$190,241,310 ","3,813","$35,363,376 ",18.60%,"3,813",14-Dec,4-Apr,Sony Pictures Releasing
16,A Quiet Place,"$188,024,361 ","3,808","$50,203,562 ",26.70%,"3,508",6-Apr,2-Aug,Paramount Pictures
17,Crazy Rich Asians,"$174,532,921 ","3,865","$26,510,140 ",15.20%,"3,384",15-Aug,10-Jan,Warner Bros.
18,Mary Poppins Returns,"$171,958,438 ","4,090","$23,523,121 ",13.70%,"4,090",19-Dec,11-Apr,Walt Disney Studios Motion Pictures
19,Hotel Transylvania 3: Summer Vacation,"$167,510,016 ","4,267","$44,076,225 ",26.30%,"4,267",13-Jul,29-Nov,Sony Pictures Releasing
20,Fantastic Beasts: The Crimes of Grindelwald,"$159,555,901 ","4,163","$62,163,104 ",39%,"4,163",16-Nov,21-Feb,Warner Bros.
21,Halloween,"$159,342,015 ","3,990","$76,221,545 ",47.80%,"3,928",19-Oct,3-Jan,Universal Pictures
22,The Meg,"$145,443,742 ","4,118","$45,402,195 ",31.20%,"4,118",10-Aug,1-Nov,Warner Bros.
23,Ocean's Eight,"$140,218,711 ","4,145","$41,607,378 ",29.70%,"4,145",8-Jun,20-Sep,Warner Bros.
24,Ready Player One,"$137,690,172 ","4,234","$41,764,050 ",30.30%,"4,234",29-Mar,5-Jul,Warner Bros.
25,Bumblebee,"$127,195,589 ","3,597","$21,654,047 ",17%,"3,550",21-Dec,7-Mar,Paramount Pictures
26,Mamma Mia! Here We Go Again,"$120,634,935 ","3,514","$34,952,180 ",29%,"3,317",20-Jul,11-Oct,Universal Pictures
27,The Nun,"$117,450,119 ","3,876","$53,807,379 ",45.80%,"3,876",7-Sep,22-Nov,Warner Bros.
28,Creed II,"$115,715,889 ","3,752","$35,574,710 ",30.70%,"3,441",21-Nov,21-Mar,Metro-Goldwyn-Mayer (MGM)
29,Peter Rabbit,"$115,253,424 ","3,725","$25,010,928 ",21.70%,"3,725",9-Feb,14-Jun,Sony Pictures Releasing
30,The Mule,"$103,804,407 ","3,329","$17,509,431 ",16.90%,"2,588",14-Dec,14-Mar,Warner Bros.
31,The Equalizer 2,"$102,084,362 ","3,388","$36,011,640 ",35.30%,"3,388",20-Jul,20-Sep,Sony Pictures Releasing
32,Rampage,"$101,028,233 ","4,115","$35,753,093 ",35.40%,"4,101",13-Apr,26-Jul,Warner Bros.
33,A Wrinkle in Time,"$100,478,608 ","3,980","$33,123,609 ",33%,"3,980",9-Mar,5-Jul,Walt Disney Studios Motion Pictures
34,Fifty Shades Freed,"$100,407,760 ","3,768","$38,560,195 ",38.40%,"3,768",9-Feb,5-Apr,Universal Pictures
35,Christopher Robin,"$99,215,042 ","3,602","$24,585,139 ",24.80%,"3,602",3-Aug,29-Nov,Walt Disney Studios Motion Pictures
36,Green Book,"$85,080,171 ","2,648","$320,429 ",0.40%,25,16-Nov,2-May,Universal Pictures
37,I Can Only Imagine,"$83,482,352 ","2,894","$17,108,914 ",20.50%,"1,629",16-Mar,12-Jul,Roadside Attractions
38,Smallfoot,"$83,240,103 ","4,131","$23,045,635 ",27.70%,"4,131",28-Sep,17-Jan,Warner Bros.
39,Night School,"$77,339,130 ","3,019","$27,257,615 ",35.20%,"3,010",28-Sep,3-Jan,Universal Pictures
40,The First Purge,"$69,488,745 ","3,038","$17,374,280 ",25%,"3,031",4-Jul,6-Sep,Universal Pictures
41,Game Night,"$69,179,066 ","3,502","$17,005,332 ",24.60%,"3,488",23-Feb,21-Jun,Warner Bros.
42,Book Club,"$68,566,296 ","3,169","$13,582,231 ",19.80%,"2,781",18-May,9-Aug,Paramount Pictures
43,The House with a Clock in Its Walls,"$68,549,695 ","3,592","$26,608,020 ",38.80%,"3,592",21-Sep,3-Jan,Universal Pictures
44,Skyscraper,"$68,420,120 ","3,822","$24,905,015 ",36.40%,"3,782",13-Jul,27-Sep,Universal Pictures
45,Insidious: The Last Key,"$67,745,330 ","3,150","$29,581,355 ",43.70%,"3,116",5-Jan,29-Mar,Universal Pictures
46,Instant Family,"$67,363,237 ","3,426","$14,504,315 ",21.50%,"3,286",16-Nov,31-Jan,Paramount Pictures
